abv	abe_sp7	abe_sp6	abe_sp2	mor_sp1	abe_sp4	abe_sp5	mos_sp2	abe_sp1	mos_sp3	abe_sp3	mos_sp4	mor_sp2	ves_sp2	ves_sp3	bei_sp3	bei_sp2	bes_sp1	bei_sp1	mos_sp1	ves_sp1
Cro_sp	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
Ver_sp	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1
Eug_sp	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0
Dal_sp	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Sap_sp1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1
Dic_sp	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0
Ser_sp	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1
Eup_sp1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0
Aeg_sp	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0
Thu_sp	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0
Ama_sp1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1
For_sp	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0
Mal_sp1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_sp1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mel_sp1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Het_sp	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fab_sp1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Euc_sp	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0
Cec_sp	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0
Bac_sp	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0
Eup_sp2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Hyp_sp	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1
Lud_sp	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0
Ast_sp2	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1
Ast_sp1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1
Myr_sp2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Byr_sp	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tet_sp	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myr_sp3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hyg_sp	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Myr_sp1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0
Pol_sp	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ban_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
