abv	abe_sp7	abe_sp6	abe_sp2	mor_sp1	abe_sp4	abe_sp5	mos_sp2	abe_sp1	mos_sp3	abe_sp3	mos_sp4	mor_sp2	ves_sp2	ves_sp3	bei_sp3	bei_sp2	bes_sp1	bei_sp1	mos_sp1	ves_sp1
Cro_sp	47	23	0	0	32	0	75	0	98	2	32	0	0	0	0	0	0	0	0	0
Ver_sp	37	24	25	0	2	0	37	0	1	0	32	0	0	52	0	2	29	12	49	1
Eug_sp	35	48	0	0	0	0	0	89	67	23	7	0	0	18	0	0	0	0	0	0
Dal_sp	13	32	23	0	4	6	0	73	38	0	8	0	86	0	0	0	0	0	0	0
Sap_sp1	0	0	0	4	67	8	4	14	0	0	42	64	0	0	2	12	0	21	0	6
Dic_sp	36	23	42	0	31	0	0	12	0	56	0	0	0	0	3	7	0	3	0	0
Ser_sp	23	14	45	0	0	5	56	0	0	0	0	0	0	2	5	0	0	4	34	1
Eup_sp1	0	0	0	47	0	0	0	0	0	0	0	82	0	0	46	4	0	3	0	0
Aeg_sp	38	0	0	0	13	0	24	0	0	43	33	0	23	4	0	0	0	0	0	0
Thu_sp	11	24	5	0	12	3	0	3	0	15	0	0	0	0	75	14	0	3	0	0
Ama_sp1	25	0	0	0	0	54	0	12	0	13	0	0	4	14	0	0	34	0	0	2
For_sp	2	0	55	0	0	38	0	23	0	2	0	2	23	12	0	0	0	0	0	0
Mal_sp1	0	78	42	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_sp1	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mel_sp1	0	42	26	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Het_sp	76	23	12	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fab_sp1	0	0	0	98	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0
Euc_sp	28	0	13	0	23	0	2	0	6	0	35	0	0	0	0	0	0	0	5	0
Cec_sp	0	0	0	0	0	0	0	21	0	56	34	0	0	0	0	0	0	0	0	0
Bac_sp	7	0	5	0	0	29	1	2	0	16	0	0	21	14	0	0	12	0	0	0
Eup_sp2	13	0	0	0	0	4	0	0	0	0	0	0	0	0	2	32	0	54	0	0
Hyp_sp	2	0	0	0	0	0	0	0	29	0	0	0	0	0	2	54	8	2	0	2
Lud_sp	24	0	8	0	0	37	3	3	0	0	0	0	12	9	0	0	0	0	0	0
Ast_sp2	27	0	0	0	4	0	0	2	0	0	0	0	14	21	2	14	0	0	0	12
Ast_sp1	0	3	0	0	0	2	58	0	0	0	0	0	0	0	3	0	0	0	5	23
Myr_sp2	65	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0
Byr_sp	12	18	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tet_sp	31	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myr_sp3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Hyg_sp	3	0	0	0	0	8	0	3	0	4	0	0	0	23	0	0	0	0	0	0
Myr_sp1	0	0	0	0	1	0	0	2	0	1	0	32	0	0	0	0	0	0	2	0
Pol_sp	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ban_sp	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
